text,emotion,severity,intent,context,response
My work situation is making me feel sadness,sadness,low,crisis,work,Seeking professional support could be beneficial.
I feel low levels of stress recently,stress,low,vent,study,"You are not alone, and it's okay to seek help."
I feel anger because my family,anger,medium,crisis,family,Consider talking to someone you trust.
Everything feels overwhelming in my health,stress,high,general,health,Seeking professional support could be beneficial.
My study situation is making me sadness,sadness,medium,vent,study,It sounds like you're going through something difficult.
My study situation is making me feel nervous,anxiety,medium,help,study,Consider talking to someone you trust.
I am dealing with anger and it getting is low,anger,low,crisis,work,It sounds like you're going through something difficult.
I feel stress because of work my,stress,high,information,work,Seeking professional support could be beneficial.
Lately my study has been causing me anger,anger,low,general,study,Try taking small steps to manage your situation.
I feel anger because of my study,anger,high,help,study,It sounds like you're going through something difficult.
I am dealing with neutral and it is getting low,neutral,low,help,work,"You are not alone, and it's okay to seek help."
feels overwhelming my in health,stress,high,help,health,It might help to take a break and relax.
I don't know how to handle this sadness anymore,sadness,low,information,study,Try taking small steps to manage your situation.
Sometimes I feel anxiety without any reason,anxiety,medium,vent,social,It might help to take a break and relax.
Sometimes I feel neutral without any reason,neutral,low,crisis,family,It might help to take a break and relax.
I feel anger because of my health,anger,medium,help,health,It sounds like you're going through something difficult.
I feel stress because of my family,stress,low,crisis,family,"You are not alone, and it's okay to seek help."
My social situation is me making feel stress,stress,high,help,social,Consider talking to someone you trust.
Lately my social has been causing me neutral,neutral,low,help,social,It sounds like you're going through something difficult.
I Sometimes feel anxiety without any reason,anxiety,low,information,work,Try taking small steps to manage your situation.
I am dealing with and it is getting high,sadness,high,help,study,Seeking professional support could be beneficial.
My study situation is feel me stress,stress,medium,crisis,study,"You are not alone, and it's okay to seek help."
I feel anger without any reason,anger,high,information,health,Try taking small steps to manage your situation.
I feel anger because of my social,anger,high,general,social,"You are not alone, and it's okay to seek help."
I don't know how to handle this anger anymore,anger,low,crisis,health,Seeking professional support could be beneficial.
Sometimes I feel without neutral any reason,neutral,high,vent,study,It might help to take a break and relax.
I feel levels high of unhappyness recently,sadness,low,vent,work,Seeking professional support could be beneficial.
I feel high levels of anxiety recently,anxiety,high,crisis,study,It sounds like you're going through something difficult.
Lately my family has been causing me anxiety,anxiety,low,help,family,It might help to take a break and relax.
Everything feels in overwhelming my work,anxiety,low,general,work,Consider talking to someone you trust.
I feel medium levels of stress recently,stress,medium,help,study,Try taking small steps to manage your situation.
